No,名前,ふりがな,キャラ,グループ,誕生日,星座,干支,学年,身長,体重,血液型,出身地
82,中河内雅貴,なかがうち まさたか,仁王雅治,立海,1985/08/23,乙女,丑,85,174,60,O,広島県
,,,越前南次郎,その他,,,,,,,,
83,夕輝壽太,ゆうき じゅった,ジャッカル桑原,立海,1985/05/27,双子,丑,85,176,,A,ブラジル
84,桐山漣,きりやま れん,丸井ブン太,立海,1985/02/02,水瓶,丑,84,175,,O,神奈川県
85,ヨウスケ・クロフォード,ようすけ くろふぉーど,木手永四郎,比嘉,1986/10/29,蠍,寅,86,177,,A,東京都
86,林野健志,はやしの たけし,知念寛,比嘉,1980/01/05,山羊,申,79,193,,AB,福岡県
87,阪本奨悟,さかもと しょうご,越前リョーマ,青学,1993/06/13,双子,酉,93,169,45,O,兵庫県
88,渡辺大輔,わたなべ だいすけ,手塚国光,青学,1982/11/06,蠍,戌,82,180,,A,神奈川県
89,豊田裕也,とよだ ゆうや,大石秀一郎,青学,1988/12/28,山羊,辰,88,175,,A,東京都
90,古川雄大,ふるかわ ゆうた,不二周助,青学,1987/07/09,蟹,卯,87,181,59,A,長野県
91,浜尾京介,はまお きょうすけ,菊丸英二,青学,1991/06/25,蟹,未,91,176,,B,東京都
92,高橋優太,たかはし ゆうた,乾貞治,青学,1984/05/31,双子,子,84,180,58,O,東京都
93,小笠原大晃,おがさわら ひろあき,河村隆,青学,1982/11/09,蠍,戌,82,186,,A,静岡県
94,牧田哲也,まきた てつや,桃城武,青学,1984/06/07,双子,子,84,175,,B,愛知県
95,平田裕一郎,ひらた ゆういちろう,海堂薫,青学,1986/04/27,牡牛,寅,86,175,,AB,長崎県
96,齋藤ヤスカ,さいとう やすか,平古場凛,比嘉,1987/06/29,蟹,卯,87,173,52,B,神奈川県
97,篠谷聖,しのたに ひじり,甲斐裕次郎,比嘉,1989/10/03,天秤,巳,89,171,56,O,東京都
98,松崎裕,まつざき ゆたか,田仁志慧,比嘉,1978/07/24,獅子,午,78,188,,,東京都
99,今井恒允,いまい つねみつ,甲斐裕次郎,比嘉,1984/09/05,乙女,子,84,173,,B,滋賀県
100,孔大維,こん てゆ,河村隆,青学,1982/03/21,牡羊,戌,81,179,65,A,神奈川県
101,山田諒,やまだ りょう,堀尾聡史,トリオ,1992/05/02,牡牛,申,92,163,,O,兵庫県
102,伊藤翼,いとう つばさ,加藤勝郎,トリオ,1986/06/11,双子,寅,86,158,,O,東京都
103,高橋龍輝,たかはし りゅうき,越前リョーマ,青学,1993/03/28,牡羊,酉,92,164,,A,宮城県
104,馬場良馬,ばば りょうま,手塚国光,青学,1984/12/15,射手,子,84,180,58,B,千葉県
105,辻本祐樹,つじもと ゆうき,大石秀一郎,青学,1985/01/12,山羊,丑,84,172,53,AB,大阪府
106,高崎翔太,たかさき しょうた,菊丸英二,青学,1988/09/21,乙女,辰,88,171,,A,新潟県
107,新井裕介,あらい ゆうすけ,乾貞治,青学,1985/10/23,天秤,丑,85,182,,B,埼玉県
108,張乙紘,ちょう いっこう,河村隆,青学,1987/03/05,魚,卯,86,185,72,B,東京都
109,延山信弘,のぶやま としひろ,桃城武,青学,1991/05/17,牡牛,未,91,178,,O,大阪府
110,林明寛,はやし あきひろ,海堂薫,青学,1987/11/09,蠍,卯,87,174,,B,福井県
111,丸山隼,まるやま しゅん,堀尾聡史,トリオ,1992/10/01,天秤,申,92,158,46,A,東京都
112,平井浩基,ひらい ひろき,加藤勝郎,トリオ,1994/03/29,牡羊,戌,93,167,,A,愛知県
113,渡邊将史,わたなべ まさし,水野カツオ,トリオ,1990/04/05,牡羊,午,90,170,,O,静岡県
114,久保田悠来,くぼた ゆうき,跡部景吾,氷帝,1981/06/15,双子,酉,81,180,62,A,神奈川県
115,秋山真太郎,あきやま しんたろう,忍足侑士,氷帝,1982/07/08,蟹,戌,82,184,,A,長崎県
116,瀬戸祐介,せと ゆうすけ,鳳長太郎,氷帝,1985/09/13,乙女,丑,85,180,,O,神奈川県
117,井上正大,いのうえ まさひろ,跡部景吾,氷帝,1989/03/20,魚,巳,88,182,63,B,神奈川県
118,福山聖二,ふくやま せいじ,向日岳人,氷帝,1990/09/17,乙女,午,90,173,,A,東京都
119,村井良大,むらい りょうた,宍戸亮,氷帝,1988/06/29,蟹,辰,88,171,,O,東京都
120,内藤大希,ないとう たいき,芥川慈郎,氷帝,1988/02/18,水瓶,辰,87,170,53,O,神奈川県
121,川田穣二,かわた じょうじ,樺地崇弘,氷帝,1985/04/14,牡羊,丑,85,187,,O,神奈川県
122,李湧恩,り ようおん,鳳長太郎,氷帝,1983/11/26,射手,亥,83,181,72,A,台湾・高雄市
123,細貝圭,ほそがい けい,日吉若,氷帝,1984/10/10,天秤,子,84,184,,A,東京都
124,春川恭亮,はるかわ きょうすけ,白石蔵ノ介,四天宝寺,1988/08/30,乙女,辰,88,176,,A,東京都
125,磯貝龍虎,いそがい りゅうこ,千歳千里,四天宝寺,1987/03/14,魚,卯,86,185,,O,北海道
126,西山丈也,にしやま たけや,金色小春,四天宝寺,1985/10/09,天秤,丑,85,179,,AB,静岡県
127,平野良,ひらの りょう,一氏ユウジ,四天宝寺,1984/05/20,牡牛,子,84,174,,B,神奈川県
128,植原卓也,うえはら たくや,忍足謙也,四天宝寺,1988/06/22,蟹,辰,88,177,,A,大阪府
129,廣瀬友祐,ひろせ ゆうすけ,石田銀,四天宝寺,1985/10/14,天秤,丑,85,183,,AB,東京都
130,佐藤永典,さとう ひさのり,財前光,四天宝寺,1990/02/14,水瓶,午,89,172,,B,埼玉県
131,木戸邑弥,きど ゆうや,遠山金太郎,四天宝寺,1992/11/09,蠍,申,92,170,,B,奈良県
132,橋本汰斗,はしもと たいと,不二周助,青学,1991/11/01,蠍,未,91,172,,O,東京都
133,高橋里央,たかはし りお,水野カツオ,トリオ,1994/02/18,水瓶,戌,93,170,,A,神奈川県
134,佐々木喜英,ささき よしひで,白石蔵ノ介,四天宝寺,1987/10/04,天秤,卯,87,175,,A,東京都
135,大山真志,おおやま まさし,千歳千里,四天宝寺,1989/08/17,獅子,巳,89,181,,B,東京都
136,飯泉学,いいずみ まなぶ,金色小春,四天宝寺,1986/11/15,蠍,寅,86,169,51,B,茨城県
137,植野堀誠,うえのぼり まこと,一氏ユウジ,四天宝寺,1986/07/30,獅子,寅,86,171,53,A,熊本県
138,水田航生,みずた こうき,忍足謙也,四天宝寺,1990/12/20,射手,午,90,179,,O,大阪府
139,米山雄太,よねやま ゆうた,石田銀,四天宝寺,1981/11/25,射手,酉,81,186,73,,山梨県
140,川隅美慎,かわすみ びしん,財前光,四天宝寺,1992/12/31,山羊,申,92,178,,O,兵庫県
141,河原田巧也,かわはらだ たくや,遠山金太郎,四天宝寺,1991/05/06,牡牛,未,91,167,55,O,東京都
142,北代高士,きただい たかし,橘桔平,不動峰,1986/09/15,乙女,寅,86,181,,O,大阪府
,,,井上守,その他,,,,,,,,
143,清水良太郎,しみず りょうたろう,亜久津仁,山吹,1988/08/15,獅子,辰,88,175,,O,東京都
144,増田俊樹,ますだ としき,幸村精市,立海,1990/03/08,魚,午,89,174,,B,広島県
145,山沖勇輝,やまおき ゆうき,柳蓮二,立海,1991/03/05,魚,未,90,181,,O,神奈川県
146,紅葉美緒,あかば みお,丸井ブン太,立海,1987/07/03,蟹,卯,87,170,55,A,栃木県
147,戸田慎吾,とだ しんご,ジャッカル桑原,立海,1988/01/22,水瓶,辰,87,180,62,O,東京都
148,小野田龍之介,おのだ りゅうのすけ,柳生比呂士,立海,1991/07/12,蟹,未,91,174,,B,神奈川県
149,和田泰右,わだ たいすけ,仁王雅治,立海,1986/10/17,天秤,寅,86,170,,B,東京都
150,西村ミツアキ,にしむら みつあき,切原赤也,立海,1989/05/08,牡牛,巳,89,171,,O,大阪府
151,太田基裕,おおた もとひろ,伊武深司,不動峰,1987/01/19,山羊,卯,86,178,62,A,東京都
152,本山新之助,もとやま しんのすけ,越前南次郎,その他,1971/02/23,魚,亥,70,176,,B-,愛媛県
153,小越勇輝,おごえ ゆうき,越前リョーマ,青学,1994/04/08,牡羊,戌,94,168,47,O,東京都
154,和田琢磨,わだ たくま,手塚国光,青学,1986/01/04,山羊,寅,85,178,63,AB,山形県
155,平牧仁,ひらまき じん,大石秀一郎,青学,1987/02/26,魚,卯,86,180,63,AB,東京都
156,三津谷亮,みつや りょう,不二周助,青学,1988/02/11,水瓶,辰,87,171.2,53,A,青森県
157,小関裕太,こせき ゆうた,菊丸英二,青学,1995/06/08,双子,亥,95,173,,AB,東京都
158,輝馬,てるま,乾貞治,青学,1989/06/06,双子,巳,89,182,,O,島根県
,,,遠野篤京,U-17選抜,,,,,,,,
159,矢口空,やぐち そら,河村隆,青学,1985/09/08,乙女,丑,85,182,72,A,茨城県
160,上鶴徹,かみつる とおる,桃城武,青学,1989/06/26,蟹,巳,89,177,54,B,兵庫県
161,池岡亮介,いけおか りょうすけ,海堂薫,青学,1993/09/03,乙女,酉,93,172,55,A,愛知県
162,久世港,ますい けんと,堀尾聡史,トリオ,1994/12/07,射手,戌,94,158,,O,埼玉県
163,大平峻也,おおひら しゅんや,加藤勝郎,トリオ,1994/02/08,水瓶,戌,93,160,42,A,東京都
164,大野瑞生,おおの みずき,水野カツオ,トリオ,1994/08/01,獅子,戌,94,163,51,O,岡山県
165,上田悠介,うえだ ゆうすけ,橘桔平,不動峰,1989/04/02,牡羊,巳,89,182,,A,奈良県
166,岡崎和寛,おかざき かずひろ,伊武深司,不動峰,1987/12/23,射手,卯,87,179,,B,東京都
167,平埜生成,ひらの きなり,神尾アキラ,不動峰,1993/02/17,水瓶,酉,92,171,61,B,東京都(福島県)
168,高木英和,たかぎ ひでかず,石田鉄,不動峰,1986/09/23,天秤,寅,86,182,,A,東京都
169,高橋郁哉,たかはし ふみや,桜井雅也,不動峰,1993/12/03,射手,酉,93,170,,A,千葉県
170,加藤真央,かとう まお,内村京介,不動峰,1987/09/09,乙女,卯,87,170,,O,東京都
171,近江陽一郎,おおみ よういちろう,森辰徳,不動峰,1989/04/05,牡羊,巳,89,180,70,A,埼玉県
172,小林豊,こばやし ゆたか,観月はじめ,ルドルフ,1989/03/19,魚,巳,88,176,,B,滋賀県
173,小西成弥,こにし せいや,不二裕太,ルドルフ,1994/09/06,乙女,戌,94,168,47,,大阪府
174,猪塚健太,いづか けんた,赤澤吉郎,ルドルフ,1986/10/08,天秤,寅,86,178,,AB,愛知県
175,大久保祥太郎,おおくぼ しょうたろう,金田一郎,ルドルフ,1995/08/27,乙女,亥,95,171,54,A,東京都
176,廣瀬大介,ひろせ だいすけ,木更津淳,ルドルフ,1991/06/03,双子,未,91,176,57,B,東京都
,,,木更津亮,六角,,,,,,,,
177,陳内将,じんない しょう,柳沢慎也,ルドルフ,1988/01/16,山羊,辰,87,178,62,O,熊本県
178,元木聖也,もとき せいや,千石清純,山吹,1993/10/06,天秤,酉,93,170,,B,東京都
179,早乙女じょうじ,さおとめ じょうじ,南健太郎,山吹,1986/12/08,射手,寅,86,175,,B,福島県
180,寺山武志,てらやま たけし,東方雅美,山吹,1987/12/23,射手,卯,87,180,63,A,愛知県
181,柾木玲弥,まさき れいや,壇太一,山吹,1995/03/24,牡羊,亥,94,170,,B,北海道
182,小野賢章,おの けんしょう,室町十次,山吹,1989/10/05,天秤,巳,89,170,50,A,福岡県
183,岸本卓也,きしもと たくや,亜久津仁,山吹,1985/05/07,牡牛,丑,85,179,,O,兵庫県
184,青木玄徳,あおき つねのり,跡部景吾,氷帝,1987/10/19,天秤,卯,87,180,,O,埼玉県
185,菊池卓也,きくち たくや,忍足侑士,氷帝,1991/05/01,牡牛,未,91,183,67,A,熊本県
186,志尊淳,しそん じゅん,向日岳人,氷帝,1995/03/05,魚,亥,94,177,60,A,東京都
187,桑野晃輔,くわの こうすけ,宍戸亮,氷帝,1990/10/16,天秤,午,90,173,56,A,兵庫県
188,赤澤燈,あかざわ ともる,芥川慈郎,氷帝,1990/03/14,魚,午,89,172,49,AB,東京都
189,西島顕人,にしじま けんと,滝萩之介,氷帝,1990/06/11,双子,午,90,177,,O,神奈川県
190,古家広之,ふるいえ ひろゆき,樺地崇弘,氷帝,1990/07/01,蟹,午,90,190,,,山梨県
191,白州迅,しらす じん,鳳長太郎,氷帝,1992/11/01,蠍,申,92,176,,A,東京都
192,伊勢大貴,いせ だいき,日吉若,氷帝,1991/05/15,牡牛,未,91,180,,O,北海道
193,吉田大輝,よしだ たいき,葵剣太郎,六角,1994/03/22,牡羊,戌,93,165,,O,神奈川県
194,内海大輔,うつみ だいすけ,佐伯虎次郎,六角,1992/10/17,天秤,申,92,177,,O,大阪府
195,本川翔太,もとかわ しょうた,黒羽春風,六角,1988/10/22,天秤,辰,88,185,,,鳥取県
196,木村敦,きむら あつし,天根ヒカル,六角,1991/09/03,乙女,未,91,183,61,A,奈良県
197,橋本真一,はしもと しんいち,樹希彦,六角,1989/10/09,天秤,巳,89,170,55,O,大阪府
198,小笠原健,おがさわら けん,真田弦一郎,立海,1986/07/16,蟹,寅,86,181,,B,愛知県
199,神永圭佑,かみなが けいすけ,幸村精市,立海,1994/08/12,獅子,戌,94,178,,B,茨城県
200,水石亜飛夢,みずいし あとむ,柳蓮二,立海,1996/01/01,山羊,子,95,180,,B,神奈川県
201,味方良介,みかた りょうすけ,柳生比呂士,立海,1992/10/25,蠍,申,92,176,,A,東京都
202,久保田秀敏,くぼた ひでとし,仁王雅治,立海,1987/01/12,山羊,卯,86,175,,O,福岡県
203,安川純平,やすかわ じゅんぺい,丸井ブン太,立海,1992/11/11,蠍,申,92,170,54,B,東京都
204,塩田康平,しおた こうへい,ジャッカル桑原,立海,1990/03/31,牡羊,午,89,174,,O,香川県
205,原嶋元久,はらしま もとひさ,切原赤也,立海,1993/01/01,山羊,酉,92,165,,B,東京都
206,多和田任益,たわだ ひでや,手塚国光,青学,1993/11/05,蠍,酉,93,185,61,,大阪府
207,山本一慶,やまもと いっけい,大石秀一郎,青学,1989/06/01,双子,巳,89,175,55,O,東京都
208,矢田悠祐,やた ゆうすけ,不二周助,青学,1990/11/16,蠍,午,90,171,,,大阪府
209,黒羽麻璃央,くろば まりお,菊丸英二,青学,1993/07/06,蟹,酉,93,178,,AB,宮城県
210,稲垣成弥,いながき せいや,乾貞治,青学,1990/05/11,牡牛,午,90,188,69,O,北海道
211,章平,しょうへい,河村隆,青学,1991/04/28,牡牛,未,91,185,,AB,東京都
212,石渡真修,いしわたり ましゅう,桃城武,青学,1993/01/07,山羊,酉,92,174,,B,神奈川県
213,木村達成,きむら たつなり,海堂薫,青学,1993/12/08,射手,酉,93,180,60,A,東京都
214,岩義人,いわ よしと,堀尾聡史,トリオ,1996/02/26,魚,子,95,166,46,,福岡県
215,三井理陽,みつい りょう,加藤勝郎,トリオ,1997/07/30,獅子,丑,97,163,44,O,東京都
216,小林瑞紀,こばやし みずき,水野カツオ,トリオ,1995/10/16,天秤,亥,95,161,52,,埼玉県
217,土井一海,どい かずみ,木手永四郎,比嘉,1989/01/20,水瓶,巳,88,180,,B,兵庫県
218,荒牧慶彦,あらまき よしひこ,甲斐裕次郎,比嘉,1990/02/05,水瓶,午,89,176,60,AB,東京都
219,染谷俊之,そめや としゆき,平古場凛,比嘉,1987/12/17,射手,卯,87,173,56,A,神奈川県
220,吉岡佑,よしおか ゆう,知念寛,比嘉,1985/07/25,獅子,丑,85,187,,A,沖縄県
221,友常勇気,ともつね ゆうき,田仁志慧,比嘉,1985/12/01,射手,丑,85,182,,B,埼玉県
222,安西慎太郎,あんざい しんたろう,白石蔵ノ介,四天宝寺,1993/12/16,射手,酉,93,173,,,神奈川県
223,東啓介,ひがし けいすけ,千歳千里,四天宝寺,1995/07/14,蟹,亥,95,187,,O,東京都
224,福島海太,ふくしま かいた,金色小春,四天宝寺,1998/02/13,水瓶,寅,97,167,53,,福岡県
225,杉江大志,すぎえ たいし,一氏ユウジ,四天宝寺,1992/05/07,牡牛,申,92,170,,A,滋賀県
226,碕理人,さき まさと,忍足謙也,四天宝寺,1991/03/01,魚,未,90,179,,O,京都府
,,,渡邊オサム,四天宝寺,,,,,,,,
227,山内圭輔,やまうち けいすけ,石田銀,四天宝寺,1991/11/14,蠍,未,91,182,,A,群馬県
228,佐藤流司,さとう りゅうじ,財前光,四天宝寺,1995/01/17,山羊,亥,94,170,,B,宮城県
229,松岡広大,まつおか こうだい,遠山金太郎,四天宝寺,1997/08/09,獅子,丑,97,,,O,東京都
230,君沢ユウキ,きみさわ ゆうき,渡邊オサム,四天宝寺,1985/01/31,水瓶,丑,84,181,,A,京都府
231,小沼将太,おぬま しょうた,跡部景吾,氷帝,1989/08/09,獅子,巳,89,182,,AB,茨城県
232,古田一紀,ふるた かずき,越前リョーマ,青学,1995/11/29,射手,亥,95,168,52,A,東京都
233,財木琢磨,ざいき たくま,手塚国光,青学,1992/10/15,天秤,申,92,178,,O,福岡県
234,石田隼,いしだ しゅん,大石秀一郎,青学,1991/10/30,蠍,未,91,173.5,,A,三重県
235,神里優希,かみさと ゆうき,不二周助,青学,1994/10/29,蠍,戌,94,177,,O,兵庫県
236,本田礼生,ほんだ れお,菊丸英二,青学,1992/10/28,蠍,申,92,175,,O,愛媛県
237,田中涼星,たなか りょうせい,乾貞治,青学,1994/12/24,山羊,戌,94,186,,O,新潟県
238,滝川広大,たきかわ こうだい,河村隆,青学,1992/04/14,牡羊,申,92,180,,A,群馬県
239,眞嶋秀斗,ましま しゅうと,桃城武,青学,1995/08/08,獅子,亥,95,172,,O,群馬県
240,佐奈宏紀,さな ひろき,海堂薫,青学,1997/02/25,魚,丑,96,175.3,,B,愛知県
241,志茂星哉,しも せいや,堀尾聡史,トリオ,1998/10/05,天秤,寅,98,158,,A,神奈川県
242,篠原立,しのはら りゅう,加藤勝郎,トリオ,1999/02/05,水瓶,卯,98,140,,O,茨城県
243,晒科新,さらしな あらた,水野カツオ,トリオ,1999/06/27,蟹,卯,99,169,,AB,東京都
244,青木空夢,あおき そらむ,橘桔平,不動峰,1993/05/27,双子,酉,93,177,68,O,長野県
245,健人,けんと,伊武深司,不動峰,1993/11/06,蠍,酉,93,178,,A,大阪府
246,伊崎龍次郎,いざき りゅうじろう,神尾アキラ,不動峰,1994/01/17,山羊,戌,93,167,,A,大阪府
247,中村太郎,なかむら たろう,石田鉄,不動峰,1996/10/05,天秤,子,96,187,,A,千葉県
248,諒太郎,りょうたろう,桜井雅也,不動峰,1991/05/28,双子,未,91,171,56,A,福岡県
249,高根正樹,たかね まさき,内村京介,不動峰,1993/11/02,蠍,酉,93,168,,O,茨城県
250,小林辰也,こばやし たつや,森辰徳,不動峰,1994/08/19,獅子,戌,94,174,,B,神奈川県
